"Name","TID","League","Exp","Trophy","Chest","Character","Skin","Emote","Resource","ResourceAmount","UnlockDuo","IconOverride"
"Main_47",,2,47,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_48",,2,48,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_49",,2,49,,,,,,"Cosmetic",2000,,
"Main_50",,2,50,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_51",,2,51,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_52",,2,52,,,,,,"Cosmetic",2000,,
"Main_53",,2,53,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_54",,2,54,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_55",,2,55,,,,,,"Cosmetic",2000,,
"Main_56",,2,56,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_57",,2,57,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_58",,2,58,,,,,,"Cosmetic",2000,,
"Main_59",,2,59,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_60",,2,60,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_61",,2,61,,,,,,"Cosmetic",2000,,
"Main_62",,2,62,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_63",,2,63,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_64",,2,64,,,,,,"Cosmetic",2000,,
"Main_65",,2,65,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_66",,2,66,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_67",,2,67,,,,,,"Cosmetic",2000,,
"Main_68",,2,68,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_69",,2,69,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_70",,2,70,,,,,,"Cosmetic",2000,,
"Main_71",,2,71,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_72",,2,72,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_73",,2,73,,,,,,"Cosmetic",2000,,
"Main_74",,2,74,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_75",,2,75,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_76",,2,76,,,,,,"Cosmetic",2000,,
"Main_77",,2,77,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_78",,2,78,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_79",,2,79,,,,,,"Cosmetic",2000,,
"Main_80",,2,80,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_81",,2,81,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_82",,2,82,,,,,,"Cosmetic",2000,,
"Main_83",,2,83,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_84",,2,84,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_85",,2,85,,,,,,"Cosmetic",2000,,
"Main_86",,2,86,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_87",,2,87,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_88",,2,88,,,,,,"Cosmetic",2000,,
"Main_89",,2,89,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_90",,2,90,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_91",,2,91,,,,,,"Cosmetic",2000,,
"Main_92",,2,92,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_93",,2,93,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_94",,2,94,,,,,,"Cosmetic",2000,,
"Main_95",,2,95,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_96",,2,96,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_97",,2,97,,,,,,"Cosmetic",2000,,
"Main_98",,2,98,,,,,,"PowerTokens",70,,"sc/ui.sc#icon_shop_powerpoints_2"
"Main_99",,2,99,,,,,,"Gold",7000,,"sc/ui.sc#icon_shop_coin2_small"
"Main_100",,2,100,,,,,,"Diamonds",100,,
