"Name","Rarity","Disabled","Character","AbilitySkin","HealthBarZOffset","CosmeticPrice","UnlockLeague","TID","SkinForUI","BackgroundUISkin","GraphicsAsset","EnemyAsset","BaseAsset","AnimationSet","PortraitAsset","IconAsset","AbilityIconAsset","Scale","NoVictoryIntro","OriginalProjectiles","OverrideSkinProjectiles","OriginalSpawnedUnit","OverrideSpawnedUnitSkin","CollectionEffects","CollectionEffectJoints","CollectionShadowJoints","CollectionShadowZ","PreciousJoints","NoMeshMerge","NoRotateInCharPreview","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd"
,,,,,,,,,,,,,,,,,,,,,,,,"max_default_preview_l",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"max_default_preview_r",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"max_default_ground_preview",,,,,,,,,,,,
"Max Cyclist",0,,"Max",,-15,,1,"TID_SKIN_MAX_CYCLIST",,,"sc3d/maxcyclist_rig.glb",,,"Max Cyclist","sc/portraits_max.sc#max_cyclist_skin","sc/character_icons.sc#max_icon",,100,,,,,,"max_cycle_preview",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"max_cycle_preview_dust",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"max_cycle_preview_r",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"max_cycle_preview_l",,,,,,,,,,,,
"Bo",0,,"Bo",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/bo_rig.glb",,,"Bo","sc/portraits_bo.sc#bo","sc/character_icons.sc#bo_icon","sc/character_ability.sc#bo_ability_icon",100,,,,,,"bo_preview_head","head_s",,,,,,,,,,,
"Bo Hoghunter",1,,"Bo",,-15,,1,"TID_SKIN_BO HOGHUNTER",,,"sc3d/bohoghunter_rig.glb",,,"Bo Hoghunter","sc/portraits_bo.sc#bo_hunter_skin","sc/character_icons.sc#bo_icon",,100,,,,,,"bo_hog_preview","chest_s",,,,,,,,,,,
"Boss Robot",0,,"Boss Robot",,-50,,1,"TID_SKIN_DEFAULT",,,"sc3d/bossrobot_rig.glb",,,"Boss Robot",,"sc/character_icons.sc#robot_boss_icon",,160,,,,,,,,,,,,,,,,,,
"Strong Robot",0,,"Strong Robot",,-40,,1,"TID_SKIN_DEFAULT",,,"sc3d/strongrobot_rig.glb",,,"Robot Strong",,"sc/character_icons.sc#robot_strong_icon",,145,,,,,,,,,,,,,,,,,,
"Mid Robot",0,,"Mid Robot",,5,,1,"TID_SKIN_DEFAULT",,,"sc3d/robot_mid_rig.glb",,,"Robot Mid",,"sc/character_icons.sc#robot_mid_icon",,100,,,,,,,,,,,,,,,,,,
"Tiny Robot",0,,"Tiny Robot",,5,,1,"TID_SKIN_DEFAULT",,,"sc3d/tinyrobot_rig.glb",,,"Tiny Robot",,"sc/character_icons.sc#robot_small_icon",,130,,,,,,,,,,,,,,,,,,
"Mine",0,,"Mine",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/mine_rig.glb",,,"Mine",,,,150,,,,,,,,,,,,,,,,,,
"Dart Goblin",0,,"Dart Goblin",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/dartgoblin_rig.glb",,,"Dart Goblin",,"sc/character_icons.sc#dart_goblin_icon",,100,,,,,,,,,,,,,,,,,,
"Kaiju",0,,"Kaiju",,-70,,1,"TID_SKIN_DEFAULT",,,"sc3d/kaiju_rig.glb",,,"Kaiju",,"sc/character_icons.sc#kaiju_icon",,180,,,,,,,,,,,,,,,,,,
"Cage Goblin",0,,"Cage Goblin",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/cagegoblin_rig.glb",,,"Cage Goblin",,"sc/character_icons.sc#cage_goblin_icon",,120,,,,,,,,,,,,,,,,,,
"Cannon",0,,"Cannon",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/cannonturret_rig.glb","sc3d/cannonturret_rig_red.glb","sc3d/cannonbase_rig.glb","Cannon",,,,100,,,,,,,,,,,,,,,,,,
"Hog Rider",0,,"Hog Rider",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/hogrider_rig.glb",,,"Hog Rider","sc/portraits_hogrider.sc#hogrider","sc/character_icons.sc#hog_rider_icon","sc/character_ability.sc#hogrider_ability_icon",100,,,,,,"hogrider_preview","head_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"hogrider_preview_weapon","fx_jnt",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"hogrider_preview_hog","hog_L_lowerLeg_s",,,,,,,,,,,
"Hog Rider Baywatch",1,,"Hog Rider",,-15,,1,"TID_SKIN_HOG_RIDER_BAYWATCH",,,"sc3d/hogriderbaywatch_rig.glb",,,"Hog Rider Baywatch","sc/portraits_hogrider.sc#hogrider_baywatch_skin","sc/character_icons.sc#hog_rider_icon",,100,,,,,,"hogrider_baywatch_preview","hips_s",,,,,,,,,,,
"Gem Mine",0,,"Gem Mine",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/gemmine_rig.glb",,,"Gemmine",,"sc/character_icons.sc#gemmine_icon",,1200,,,,,,,,,,,,,,,,,,
"Gold Mine",0,,"Gold Mine",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/goldmine_rig.glb",,,"Goldmine",,"sc/character_icons.sc#goldmine_icon",,1200,,,,,,,,,,,,,,,,,,
"Box",0,,"Box",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/turbobox_rig.glb",,,"Turbobox",,,,1000,,,,,,,,,,,,,,,,,,
"Gem Mine Active",0,,"Gem Mine Active",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/gemmine_rig.glb",,,"Gemmine",,"sc/character_icons.sc#gemmine_icon",,1200,,,,,,,,,,,,,,,,,,
"Gold Mine Active",0,,"Gold Mine Active",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/goldmine_rig.glb",,,"Goldmine",,"sc/character_icons.sc#goldmine_icon",,1200,,,,,,,,,,,,,,,,,,
"Barbarian King",0,,"Barbarian King",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/barbarianking_rig.glb",,,"Barbarian King","sc/portraits_barbarianking.sc#barbarian_king","sc/character_icons.sc#barbarian_king_icon","sc/character_ability.sc#barbarian_king_ability_icon",100,,,,,,"barbarianking_preview_sword","sword_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"barbarianking_preview_slash","chest_s",,,,,,,,,,,
"Barbarian King Skeleton",2,,"Barbarian King",,-15,,1,"TID_SKIN_BARBARIAN_KING_SKELETON",,,"sc3d/barbariankingskeleton_rig.glb",,,"Barbarian King Skeleton","sc/portraits_barbarianking.sc#barbarianking_skeleton_skin","sc/character_icons.sc#barbarian_king_icon",,100,,,,,,"barbarianking_skeleton_preview",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"barbarianking_skeleton_preview_02",,,,,,,,,,,,
"Bowler",0,,"Bowler",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/bowler_rig.glb",,,"Bowler",,"sc/character_icons.sc#bowler_icon",,180,,,,,,,,,,,,,,,,,,
"Bowler Farmer",,"TRUE","Bowler",,,,,"TID_SKIN_DEFAULT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duo Gem Mine",0,,"Duo Gem Mine",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/gemmine_lid.glb",,,"Gemmine",,"sc/character_icons.sc#gemmine_icon",,1200,,,,,,,,,,,,,,,,,,
"Duo Gem Mine Active",0,,"Duo Gem Mine Active",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/gemmine_rig.glb",,,"Gemmine",,"sc/character_icons.sc#gemmine_icon",,1200,,,,,,,,,,,,,,,,,,
"Duo Gold Mine",0,,"Duo Gold Mine",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/goldmine_lid.glb",,,"Goldmine",,"sc/character_icons.sc#goldmine_icon",,1200,,,,,,,,,,,,,,,,,,
"Duo Gold Mine Active",0,,"Duo Gold Mine Active",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/goldmine_rig.glb",,,"Goldmine",,"sc/character_icons.sc#goldmine_icon",,1200,,,,,,,,,,,,,,,,,,
"TUTORIAL_Skeleton",0,,"TUTORIAL_Skeleton",,0,,1,"TID_SKIN_DEFAULT",,,"sc3d/skeleton_rig.glb",,,"Skeleton",,"sc/character_icons.sc#skeleton_icon",,100,,,,,,,,,,,,,,,,,,
"Bea",0,,"Bea",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/bea_rig.glb",,,"Bea","sc/portraits_bea.sc#bea","sc/character_icons.sc#bea_icon","sc/character_ability.sc#bea_ability_icon",100,,,,,,"bea_preview_trail","bee_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"bea_preview_trail_loop","bee_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"bea_preview","head_s",,,,,,,,,,,
"Barbarian Demon",2,,"Barbarian",,-15,,1,"TID_SKIN_BARBARIAN_DEMON",,,"sc3d/demonbarbarian_rig.glb",,,"Barbarian Demon","sc/portraits_barbarian.sc#barbarian_demon_skin","sc/character_icons.sc#barbarian_icon",,100,,,,,"EliteBarbarian Demon","barbarian_demon_preview","hips_s",,-40,,,,,,,,,
"Barbarian Sunburn",1,,"Barbarian",,-15,,1,"TID_SKIN_BARBARIAN_SUNBURN",,,"sc3d/sunburn_barbarian_rig.glb",,,"Barbarian Sunburn","sc/portraits_barbarian.sc#barbarian_sunburn_skin","sc/character_icons.sc#barbarian_icon",,100,,,,,"EliteBarbarian Sunburn","barbarian_sunburn_preview",,,-40,,,,,,,,,
"EliteBarbarian Demon",1,,"EliteBarbarian",,-15,,1,"TID_SKIN_ELITE_BARBARIAN_DEMON",,,"sc3d/demon_elite_barbarian_rig.glb",,,"Barbarian Demon",,,,100,,,,,,,,,,,,,,,,,,
"EliteBarbarian Sunburn",0,,"EliteBarbarian",,-15,,1,"TID_SKIN_ELITE_BARBARIAN_SUNBURN",,,"sc3d/sunburn_elite_barbarian_rig.glb",,,"Barbarian Sunburn",,,,100,,,,,,,,,,,,,,,,,,
"Bea Beetle",1,,"Bea",,-15,,1,"TID_SKIN_BEE_BEETLE",,,"sc3d/bea_beetle_rig.glb",,,"Bea Beetle","sc/portraits_bea.sc#bea_beetle_skin","sc/character_icons.sc#bea_icon",,100,,,,,,"bea_beetle_preview","L_toe_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"bea_beetle_preview_trail","bee_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"bea_beetle_preview_trail_loop","bee_s",,,,,,,,,,,
"Heavy Karate",2,,"Heavy",,-15,,1,"TID_SKIN_HEAVY_KARATE",,,"sc3d/heavy_karate_rig.glb",,,"Heavy Karate","sc/portraits_heavy.sc#heavy_karate_skin","sc/character_icons.sc#heavy_icon",,100,,,,,,"heavy_karate_preview_punch",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"heavy_karate_preview_kick01",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"heavy_karate_preview_kick02",,,,,,,,,,,,
"Heavy Wolf",2,,"Heavy",,-15,,1,"TID_SKIN_HEAVY_WOLF",,,"sc3d/heavy_wolf_rig.glb",,,"Heavy Wolf","sc/portraits_heavy.sc#heavy_wolf_skin","sc/character_icons.sc#heavy_icon",,100,,,,,,"heavy_wolf_preview_gun","miniGun_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"heavy_wolf_preview","head_s",,,,,,,,,,,
"Shelly Detective",1,,"Shelly",,-15,,1,"TID_SKIN_SHELLY_DETECTIVE",,,"sc3d/shelly_detective_rig.glb",,,"Shelly Detective","sc/portraits_shelly.sc#shelly_detective_skin","sc/character_icons.sc#shelly_icon",,100,,,,,,"shelly_detective_preview_ground",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"shelly_detective_preview_hand",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"shelly_detective_preview_pipe",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"shelly_detective_preview_head",,,,,,,,,,,,
"Max Future",2,,"Max",,-15,,1,"TID_SKIN_MAX_FUTURE",,,"sc3d/max_future_rig.glb",,,"Max Future","sc/portraits_max.sc#max_future_skin","sc/character_icons.sc#max_icon",,100,,,,,,"max_future_preview",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"max_future_hand_preview",,,,,,,,,,,,
"BabyDragon",0,,"BabyDragon",,-15,,1,"TID_SKIN_DEFAULT",,,"sc3d/babydragon_rig.glb",,,"BabyDragon",,"sc/character_icons.sc#baby_dragon_icon",,130,,,,,,,,,,,,,,,,,,
"Nita_Dog",1,,"Nita",,-15,1500,1,"TID_SKIN_NITA_DOG",,"Bear_Dog","sc3d/nita_dog_rig.glb",,,"Nita Dog","sc/portraits_nita.sc#nita_dog_skin","sc/character_icons.sc#nita_icon",,100,,,,,"Bear_Dog","nita_dog_preview","neck_s",,,,,,,,,,,
"Bear_Dog",1,,"Bear",,-15,,1,"TID_SKIN_BEAR_DOG",,,"sc3d/nita_bear_dog_rig.glb",,,"Nita Bear Dog",,"sc/character_icons.sc#nita_bear_icon",,100,,,,,,,,,,,,"TRUE",,,,,,
"Bea Stagbeetle",1,,"Bea",,-15,,1,"TID_SKIN_BEE_STAG_BEETLE",,,"sc3d/bea_stagbeetle_rig.glb",,,"Bea Stagbeetle","sc/portraits_bea.sc#bea_stagbeetle_skin","sc/character_icons.sc#bea_icon",,100,,,,,,"bea_stagbeetle_preview","head_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"bea_stagbeetle_preview_trail","bee_s",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"bea_stagbeetle_preview_trail_loop","bee_s",,,,,,,,,,,
"Bea Evil",1,,"Bea",,-15,,1,"TID_SKIN_BEE_EVIL",,,"sc3d/bea_evil_rig.glb",,,"Bea Evil","sc/portraits_bea.sc#bea_evil_skin","sc/character_icons.sc#bea_icon",,100,,,,,,"bea_evil_preview","head_s",,,,,,,,,,,
