"Name","Powerpoints","Cost","CostResource","AbilityUp","AbilityUpCost","AbilityUpResource","Skin","Emote"
,40,4000,"Gold",,,,,"Shelly_1"
,70,7000,"Gold",,,,"Shelly_Sheriff",
"Witch",10,1000,"Gold",,,,,"Witch_1"
,20,2000,"Gold",,,,,
,40,4000,"Gold","TRUE",5000,"Gold",,
,70,7000,"Gold",,,,"Witch_Forest",
"Chicken",10,1000,"Gold",,,,,
,20,2000,"Gold",,,,,"Chicken_1"
,40,4000,"Gold","TRUE",5000,"Gold",,
,70,7000,"Gold",,,,"Chicken_Tuxedo",
,100,10000,"Gold","TRUE",10000,"Gold",,
,130,13000,"Gold","TRUE",15000,"Gold",,
,170,17000,"Gold",,,,,"Chicken_2"
,200,20000,"Gold",,,,,"Chicken_3"
,230,23000,"Gold",,,,,"Chicken_4"
,260,26000,"Gold",,1000,"Cosmetic","Chicken_Karate",
"Heavy",10,1000,"Gold",,,,,
,20,2000,"Gold",,,,,"Heavy_1"
,40,4000,"Gold",,,,,
,70,7000,"Gold","TRUE",8000,"Gold",,
,100,10000,"Gold","TRUE",10000,"Gold",,
,130,13000,"Gold","TRUE",15000,"Gold",,
,170,17000,"Gold",,,,,"Heavy_2"
,200,20000,"Gold",,,,,"Heavy_3"
,230,23000,"Gold",,,,,"Heavy_4"
,260,26000,"Gold",,1000,"Cosmetic","Heavy Karate",
"Nita",10,1000,"Gold",,,,,
,20,2000,"Gold","TRUE",3000,"Gold",,
,40,4000,"Gold",,,,,"Nita_1"
,70,7000,"Gold",,,,"Nita_Dog",
"Medic",10,1000,"Gold",,,,,
,20,2000,"Gold",,,,,"Medic_1"
,40,4000,"Gold","TRUE",5000,"Gold",,
,70,7000,"Gold",,,,"Medic_Explorer",
"BattleHealer",10,1000,"Gold",,,,,
,20,2000,"Gold",,,,,"BattleHealer_1"
,40,4000,"Gold","TRUE",3000,"Gold",,
,70,7000,"Gold",,,,"BattleHealer Hero",
"Dynamike",10,1000,"Gold",,,,,
,20,2000,"Gold",,,,,"Dynamike_1"
,40,4000,"Gold","TRUE",5000,"Gold",,
,70,7000,"Gold",,,,,
"Max",10,1000,"Gold",,,,,
,20,2000,"Gold",,,,,
,40,4000,"Gold",,,,,"Max_1"
,70,7000,"Gold","TRUE",8000,"Gold",,
"Bo",10,1000,"Gold",,,,,
,20,2000,"Gold",,,,,"Bo_1"
,40,4000,"Gold","TRUE",5000,"Gold",,
,70,7000,"Gold",,,,,
"Hog Rider",10,1000,"Gold",,,,,
,20,2000,"Gold",,,,,"HogRider_1"
,40,4000,"Gold",,,,,
,70,7000,"Gold","TRUE",8000,"Gold",,
"Barbarian King",10,1000,"Gold",,,,,
,20,2000,"Gold",,,,,"BarbarianKing_1"
,40,4000,"Gold",,,,,
,100,10000,"Gold","TRUE",10000,"Gold",,
,130,13000,"Gold","TRUE",15000,"Gold",,
,170,17000,"Gold",,,,,"BarbarianKing_3"
,200,20000,"Gold",,,,,"BarbarianKing_2"
,230,23000,"Gold",,,,,"BarbarianKing_4"
,260,26000,"Gold",,1000,"Cosmetic","Barbarian King Ice",
,70,7000,"Gold","TRUE",8000,"Gold",,
"Bea",10,1000,"Gold",,,,,
,20,2000,"Gold",,,,,"Bea_1"
,40,4000,"Gold","TRUE",5000,"Gold",,
,70,7000,"Gold",,,,,
