"TID_POPUP_ANDROID_EXIT","Do you want to quit the game?","Voulez-vous quitter le jeu ?","Möchtest du das Spiel beenden?","¿Quieres salir del juego?","Vuoi davvero uscire dal gioco?","Wil je het spel verlaten?","Oyundan çıkmak istiyor musun?","ゲームを終了しますか？","게임을 종료하시겠습니까?","Хочешь выйти из игры?","أترغب في الخروج من اللعبة؟","Quer mesmo s_r do jogo?","确定要退出游戏吗？","確定要退出遊戲嗎？","Ingin keluar dari game?","คุณต้องการออกจากเกมหรือไม่?","Haluatko poistua pelistä?"
"TID_SETTINGS_TITLE","SETTINGS","RÉGLAGES","EINSTELLUNGEN","AJUSTES","IMPOSTAZIONI","INSTELLINGEN","AYARLAR","設定","설정","НАСТРОЙКИ","الإعدادات","AJUSTES","设置","設定","SETELAN","การตั้งค่า","ASETUKSET"
"TID_SETTINGS_ON_OFF","<LABEL>: <STATE>","<LABEL> : <STATE>","<LABEL>: <STATE>","<LABEL>: <STATE>","<LABEL>: <STATE>","<LABEL>: <STATE>","<LABEL>: <STATE>","<LABEL>：<STATE>","<LABEL>: <STATE>","<LABEL>: <STATE>","<LABEL>: <STATE>","<LABEL>: <STATE>","<LABEL>：<STATE>","<LABEL>：<STATE>","<LABEL>: <STATE>","<LABEL>: <STATE>","<LABEL>: <STATE>"
"TID_SETTINGS_ON","On","Oui","Ein","Activado","Sì","Aan","Açık","オン","켜짐","Вкл.","تشغيل","Sim","开启","開啟","Nyala","เปิด","Päällä"
"TID_SETTINGS_OFF","Off","Non","Aus","Desactivado","No","Uit","Kapalı","オフ","꺼짐","Выкл.","إيقاف","Não","关闭","關閉","Mati","ปิด","Pois"
"TID_SETTINGS_SOUNDS","Sounds","Effets","Sounds","Sonidos","Effetti sonori","Geluiden","Sesler","サウンド","소리","Звук","الأصوات","Sons","音效","音效","Suara","เสียง","Äänet"
"TID_SETTINGS_MUSIC","Music","Musique","Musik","Música","Musica","Muziek","Müzik","ミュージック","음악","Музыка","الموسيقى","Música","音乐","音樂","Musik","ดนตรี","Musiikki"
"TID_POPUP_NOT_ENOUGH_GEMS_TITLE","NOT ENOUGH DIAMONDS","PAS ASSEZ DE DIAMANTS","NICHT GENUG DIAMANTEN","NO TIENES SUFICIENTES DIAMANTES","DIAMANTI INSUFFICIENTI","NIET GENOEG DIAMANTEN","ELMAS YETERSİZ","ダイヤモンドが足りません","다이아몬드 부족","НЕ ХВАТАЕТ АЛМАЗОВ","الماسات لا تكفي","DIAMANTES INSUFICIENTES","钻石不足","鑽石不足","BERLIAN TIDAK CUKUP","เพชรไม่เพียงพอ","EI TARPEEKSI TIMANTTEJA"
"TID_POPUP_NOT_ENOUGH_GEMS","Not enough diamonds.","Vous n'avez pas assez de diamants.","Du hast nicht genug Diamanten.","No tienes suficientes diamantes.","Non hai abbastanza diamanti.","Niet genoeg diamanten.","Yeterli sayıda elmas yok.","ダイヤモンドが足りません。","다이아몬드가 부족합니다.","Не хватает алмазов.","الماسات لا تكفي.","Diamantes insuficientes.","钻石数量不足。","鑽石不足。","Berlian tidak cukup.","เพชรไม่เพียงพอ","Ei tarpeeksi timantteja."
"TID_POPUP_NOT_ENOUGH_RESOURCES_TITLE","NOT ENOUGH <name>","RESSOURCE INSUFFISANTE (<name>)","NICHT GENUG <name>","<name> INSUFICIENTES","<name> INSUFFICIENTI","NIET GENOEG <name>","<name> YETERSİZ","<name>が足りません","<name> 부족","<name>: требуется больше","كمية <name> لا تكفي","FALTA: <name>","<name>不足","<name>不足","<name> TIDAK CUKUP","<name> ไม่เพียงพอ","<name> eivät riitä"
"TID_POPUP_NOT_ENOUGH_RESOURCES","Not enough <name>.\n\nBuy missing <name> using Diamonds?","Ressource insuffisante : <name>.\n\nAcheter les ressources manquantes (<name>) avec des diamants ?","Du hast nicht genug <name>.\n\nFehlende <name> mit Diamanten kaufen?","No tienes suficientes <name>.\n\n¿Quieres comprar <name> usando diamantes?","Non hai <name> a sufficienza.\n\nVuoi comprare le unità di <name> mancanti coi diamanti?","Niet genoeg <name>.\n\nWil je de ontbrekende <name> kopen met diamanten?","Yeterli sayıda <name> yok.\n\nElmas kullanarak <name> almak ister misin?","<name>が足りません。\n\nダイヤモンドを使って不足分の<name>を購入しますか？","<name> 부족.\n\n다이아몬드를 사용해 다음을 구매할까요: <name>?","<name>: требуется больше.\n\n<name>: купить недостающее количество за алмазы?","عدد <name> لا يكفي.\n\nأتريد شراء الناقص من <name> بالماسات؟","É preciso <name> para esta nova aquisição.\n\nQuer comprar o que falta de <name> com diamantes?","<name>数量不足。\n\n要花费钻石购买缺少的<name>吗？","<name>不足。\n\n要花費鑽石購買不足的<name>嗎？","<name> tidak cukup.\n\nBeli <name> yang kurang dengan Berlian?","<name> ไม่เพียงพอ\n\nซื้อ <name> ที่ขาดไปด้วยเพชรหรือไม่?","<name> eivät riitä.\n\nHaluatko ostaa puuttuvat <name> käyttämällä timantteja?"
"TID_INFO_POP_UP_TOS_PP_TITLE","IMPORTANT NOTICE","INFO IMPORTANTE","WICHTIGER HINWEIS","AVISO IMPORTANTE","AVVISO IMPORTANTE","BELANGRIJK BERICHT","ÖNEMLİ UYARI","注意事項","중요한 알림","ВНИМАНИЕ","تنبيه مهم","ATENÇÃO","重要提醒","重要提醒","PEMBERITAHUAN PENTING","ประกาศสำคัญ","TÄRKEÄ ILMOITUS"
"TID_INFO_POP_UP_TOS_PP_NOTE_NOT_USED","Squad Busters is free to play, but you can speed up progress with in-app purchases (you can disable this in your device settings). Tap OK to accept our Terms and Privacy Policy.",,,,,,,,,,,,,,,,
"TID_INFO_POP_UP_TOS_PP_NOTE","Squad Busters is currently in development and some features may not be available or fully functional.\n\nTap OK to accept our Terms and Privacy Policy.","Squad Busters est un jeu gratuit, mais vous pouvez accélérer votre progression en effectuant des achats intégrés. Pour désactiver cette option, rendez-vous dans les réglages de l'appareil. Appuyez sur OK pour accepter les conditions d'utilisation et la politique de confidentialité.","Squad Busters ist kostenlos spielbar, aber durch In-App-Käufe kann dein Fortschritt beschleunigt werden. (Diese kannst du in den Einstellungen deines Geräts deaktivieren.) Tippe auf ,,Okay\q, um unsere Nutzungsbedingungen und Datenschutzrichtlinien zu akzeptieren.","Jugar a Squad Busters es gratis, pero puedes acelerar tu progreso con compras integradas. Puedes desactivar esta opción en los ajustes del dispositivo. Toca «Vale» para aceptar nuestras Condiciones del servicio y nuestra Política de privacidad.","Squad Busters è gratuito, ma puoi velocizzare i progressi in gioco con gli acquisti in-app (disattivabili dalle impostazioni del dispositivo). Tocca OK per accettare le Condizioni d'Uso e la Normativa sulla privacy.","Squad Busters kan gratis worden gespeeld, maar je kunt je voortgang versnellen met in-app aankopen (je kunt dit uitschakelen via de instellingen van je apparaat). Tik op OK om onze Algemene voorwaarden en ons Privacybeleid te accepteren.","Squad Busters´ı oynamak ücretsizdir ama istersen oyun içi alışverişlerle ilerlemeni hızlandırabilirsin. Oyun içi alışveriş seçeneği cihaz ayarlarından devre dışı bırakılabilir. Hizmet şartlarımızı ve gizlilik politikamızı kabul etmek için Tamam´a dokun.","スクワッド・バスターズは無料でプレイできますが、アプリ内購入（デバイスの設定から無効にできます）を通じてゲームを早く進めることも可能です。「OK」をタップすることで、サービス利用規約とプライバシーポリシーに同意したものとみなします。","스쿼드 버스터즈는 무료로 플레이할 수 있지만 인앱 구매를 통해 게임 진행을 더 빠르게 할 수 있습니다. 구매 옵션은 기기의 설정에서 비활성화할 수 있습니다. 저희의 이용 약관과 개인정보 처리방침에 동의하시면 확인을 탭하세요.","Squad Busters — бесплатная игра, но вы можете ускорить продвижение с помощью встроенных покупок (можно отключить в настройках устройства). Если вы согласны с Условиями пользования и Политикой конфиденциальности, нажмите «OK».","لعبة Squad Busters مجانية اللعب، ولكن يمكن تسريع التقدم فيها من خلال عمليات الشراء داخل التطبيق (تستطيع تعطيل هذا الخيار من إعدادات الجهاز). اضغط على زر موافق لقبول الشروط والأحكام وسياسة الخصوصية.","Squad Busters é gratuito, mas você pode acelerar o progresso com compras no aplicativo (isso pode ser desativado nas configurações do dispositivo). Toque em OK para aceitar nossos Termos e Política de Privacidade.","《破坏小队》是一款免费游戏，但是您可以通过应用内购买加速游戏进度（您可在设备的设置中禁用该功能）。点击\q确定\q以接受我们的《服务条款》与《隐私保护政策》。","《破壞突擊隊》是一款免費遊戲，但你可以使用遊戲內購買加快遊戲進度（你可以在裝置的設定中關閉該購買功能）。點擊確定以接受我們的服務條款與隱私保護政策。","Squad Busters gratis untuk dimainkan, tetapi kamu bisa mempercepat progres dengan pembelian dalam aplikasi (opsi ini bisa dinonaktifkan di setelan perangkat). Ketuk \qOke\q untuk menyetujui Ketentuan dan Kebijakan Privasi.","Squad Busters เป็นเกมเล่นฟรีแต่คุณสามารถเร่งความคืบหน้าได้ด้วยการซื้อในแอป (คุณสามารถปิดการซื้อได้ในการตั้งค่าอุปกรณ์ของคุณ) แตะ \qตกลง\q เพื่อยอมรับเงื่อนไขและนโยบายความเป็นส่วนตัวของเรา","Squad Bustersia voi pelata ilmaiseksi, mutta voit myös nopeuttaa etenemistäsi pelinsisäisten ostojen avulla. (Voit estää ostot laitteesi asetuksissa.) Hyväksy käyttöehdot ja yksityisyyskäytäntö napauttamalla OK."
"TID_INFO_POP_UP_TOS_PP_NOTE_ANDROID","Old Squad Busters is free to play, because this is private server. Tap OK if you wanna play.","Squad Busters est un jeu gratuit, mais vous pouvez accélérer votre progression en effectuant des achats intégrés. Pour désactiver cette option, ajoutez un mot de passe dans les réglages du Google Play Store. Appuyez sur OK pour accepter les conditions d'utilisation et la politique de confidentialité.","Squad Busters ist kostenlos spielbar, aber durch In-App-Käufe kann dein Fortschritt beschleunigt werden. Wenn du nichts kaufen willst, richte den Passwortschutz für Käufe in den App-Einstellungen des Google Play Store ein. Tippe auf ,,Okay\q, um unsere Nutzungsbedingungen und Datenschutzrichtlinien zu akzeptieren.","Jugar a Squad Busters es gratis, pero puedes acelerar tu progreso con compras integradas. Puedes desactivar esta opción habilitando una contraseña en los ajustes de Google Play Store.","Squad Busters è gratuito, ma puoi velocizzare i progressi in gioco con gli acquisti in-app (disattivabili impostando una password nelle impostazioni di Google Play Store). Tocca OK per accettare le Condizioni d'Uso e la Normativa sulla privacy.","Squad Busters kan gratis worden gespeeld, maar je kunt je voortgang versnellen met in-app aankopen (als je dit wilt uitschakelen, moet je de wachtwoordbeveiliging inschakelen in de instellingen van de Google Play Store). Tik op OK om onze Algemene voorwaarden en ons Privacybeleid te accepteren.","Squad Busters´ı oynamak ücretsizdir ama istersen oyun içi alışverişlerle ilerlemeni hızlandırabilirsin. Google Play Store ayarlarında parola koruması etkinleştirilerek oyun içi alışverişler devre dışı bırakılabilir. Hizmet şartlarımızı ve gizlilik politikamızı kabul etmek için Tamam´a dokun.","スクワッド・バスターズは無料でプレイできますが、アプリ内購入（無効にする場合は、Google Playストアのアプリ設定から購入時の認証パスワードを追加してください）を通じてゲームを早く進めることも可能です。「OK」をタップすることで、サービス利用規約とプライバシーポリシーに同意したものとみなします。","스쿼드 버스터즈는 무료로 플레이할 수 있지만 인앱 구매를 통해 게임 진행을 더 빠르게 할 수 있습니다. 구매 옵션은 Google Play 스토어 앱의 설정에서 비밀번호를 설정하여 비활성화할 수 있습니다. 저희의 이용 약관과 개인정보 처리방침에 동의하시면 확인을 탭하세요.","Старый Squad Busters — бесплатная игра,поскольку это приватный сервер. Если ты хочешь играть, нажми «OK».","لعبة Squad Busters مجانية اللعب، ولكن يمكن تسريع التقدم فيها من خلال عمليات الشراء داخل التطبيق (لتعطيل هذا الخيار، ضع حماية بكلمة مرور في إعدادات تطبيق Google Play Store). اضغط على زر موافق لقبول الشروط والأحكام وسياسة الخصوصية.","Squad Busters é gratuito, mas você pode acelerar o progresso com compras no aplicativo (para desativar essa opção, use a proteção por senha nas configurações da Google Play Store). Toque em OK para aceitar nossos Termos e Política de Privacidade.","《破坏小队》是一款免费游戏，但是您可以通过应用内购买加速游戏进度（要禁用此功能，请在Google Play Store的应用设置中设置密码保护）。点击\q确定\q以接受我们的《服务条款》与《隐私保护政策》。","《破壞突擊隊》是一款免費遊戲，但你可以使用遊戲內購買加快遊戲進度（要關閉此功能，請在Google Play Store的應用程式設定中設置密碼保護）。點擊確定以接受我們的服務條款與隱私保護政策。","Squad Busters gratis untuk dimainkan, tetapi kamu bisa mempercepat progres dengan pembelian dalam aplikasi (untuk menonaktifkan setelan ini, aktifkan proteksi kata sandi di setelan aplikasi Google Play Store). Ketuk \qOke\q untuk menyetujui Ketentuan dan Kebijakan Privasi.","Squad Busters เป็นเกมเล่นฟรีแต่คุณสามารถเร่งความคืบหน้าได้ด้วยการซื้อในแอป (เพื่อปิดการซื้อ ให้ตั้งค่าการป้องกันด้วยรหัสในการตั้งค่าแอป Google Play Store) แตะ \qตกลง\q เพื่อยอมรับเงื่อนไขและนโยบายความเป็นส่วนตัวของเรา","Squad Bustersia voi pelata ilmaiseksi, mutta voit myös nopeuttaa etenemistäsi pelinsisäisten ostojen avulla. (Voit estää ostot asettamalla salasanaeston ostoille Google Play Kauppa -sovelluksen asetuksissa.) Hyväksy käyttöehdot ja yksityisyyskäytäntö napauttamalla OK."
"TID_INFO_POP_UP_TOS_PP_NOTE_KUNLUN","Squad Busters is free to play, but you can speed up progress with in-app purchases. Tap OK to accept our Terms and Privacy Policy.","Squad Busters est un jeu gratuit, mais vous pouvez accélérer votre progression en effectuant des achats intégrés. Appuyez sur OK pour accepter les conditions d'utilisation et la politique de confidentialité.","Squad Busters ist kostenlos spielbar, aber durch In-App-Käufe kann dein Fortschritt beschleunigt werden. Tippe auf ,,Okay\q, um unsere Nutzungsbedingungen und Datenschutzrichtlinien zu akzeptieren","Jugar a Squad Busters es gratis, pero puedes acelerar tu progreso con compras integradas. Toca «Vale» para aceptar nuestras Condiciones del servicio y nuestra Política de privacidad.","Squad Busters è gratuito, ma puoi velocizzare i progressi in gioco con gli acquisti in-app. Tocca OK per accettare le Condizioni d'Uso e la Normativa sulla privacy.","Squad Busters kan gratis worden gespeeld, maar je kunt je voortgang versnellen met in-app aankopen. Tik op OK om onze Algemene voorwaarden en ons Privacybeleid te accepteren.","Squad Busters´ı oynamak ücretsizdir ama istersen oyun içi alışverişlerle ilerlemeni hızlandırabilirsin. Hizmet şartlarımızı ve gizlilik politikamızı kabul etmek için Tamam´a dokun.","スクワッドバスターは無料でプレイできますが、アプリ内購入を通じてゲームを早く進めることも可能です。「OK」をタップすることで、サービス利用規約とプライバシーポリシーに同意したものとみなします。","스쿼드 버스터즈는 무료로 플레이할 수 있지만 인앱 구매를 통해 게임 진행을 더 빠르게 할 수 있습니다. 저희의 이용 약관과 개인정보 처리방침에 동의하시면 확인을 탭하세요.","Squad Busters — бесплатная игра, но вы можете ускорить продвижение с помощью встроенных покупок. Если вы согласны с Условиями пользования и Политикой конфиденциальности, нажмите «OK».","لعبة Squad Busters مجانية اللعب، ولكن يمكن تسريع التقدم فيها من خلال عمليات الشراء داخل التطبيق. اضغط على زر موافق لقبول الشروط والأحكام وسياسة الخصوصية.","Squad Busters é gratuito, mas você pode acelerar o progresso com compras no aplicativo. Toque em OK para aceitar nossos Termos e Política de Privacidade.","《破坏小队》是一款免费游戏，但是您可以通过应用内购买加速游戏进度。点击\q确定\q以接受我们的《服务条款》与《隐私保护政策》。","《破壞突擊隊》是一款免費遊戲，但是你可以透過應用程式內購買加速遊戲進度。點擊確定以接受我們的條款與隱私保護政策。","Squad Busters gratis untuk dimainkan, tetapi kamu bisa mempercepat progres dengan pembelian dalam aplikasi. Ketuk \qOke\q untuk menyetujui Ketentuan dan Kebijakan Privasi.","Squad Busters เป็นเกมเล่นฟรีแต่คุณสามารถเร่งความคืบหน้าได้ด้วยการซื้อในแอป แตะ \qตกลง\q เพื่อยอมรับเงื่อนไขและนโยบายความเป็นส่วนตัวของเรา","Squad Bustersia voi pelata ilmaiseksi, mutta voit myös nopeuttaa etenemistäsi pelinsisäisten ostojen avulla. Hyväksy käyttöehdot ja yksityisyyskäytäntö napauttamalla OK."
"TID_INFO_POP_UP_TOS_PP_BUTTON1","OK","OK","Okay","VALE","OK","OK","Tamam","OK","확인","OK","موافق","OK","确定","OK","Oke","ตกลง","OK"
"TID_INFO_POP_UP_TOS_PP_BUTTON2","Terms of use","Conditions","Nutzungsbedingungen","Condiciones del servicio","Condizioni d'Uso","Algemene voorwaarden","Hizmet Şartları","サービス利用規約","이용 약관","Условия использования","شروط الخدمة","Termos de Uso","服务条款","服務條款","Ketentuan Layanan","เงื่อนไขการให้บริการ","Käyttöehdot"
"TID_ERROR_POP_UP_BANNED_TITLE","YOU HAVE BEEN BANNED!","COMPTE BANNI","DU WURDEST GEBANNT!","¡TE HAN VETADO!","ACCOUNT SOSPESO","JE BENT GEBLOKKEERD!","OYUNDAN UZAKLAŞTIRILDIN!","アカウント利用停止","게임 이용 금지됨!","ТЕБЯ ЗАБЛОКИРОВАЛИ!","لقد تم حظرك!","VOCÊ SOFREU UM BANIMENTO!","账号被封禁！","帳號已被封禁！","KAMU TELAH DIBLOKIR!","คุณถูกแบน!","SINUT ON ESTETTY!"
"TID_ERROR_POP_UP_BANNED","You have been banned temporarily","Votre compte a été temporairement banni.","Du wurdest vorübergehend gebannt.","Se te ha vetado temporalmente.","L'account è stato temporaneamente sospeso.","Je bent tijdelijk geblokkeerd.","Geçici olarak oyundan uzaklaştırıldın.","あなたのアカウントに一時的な利用停止措置が適用されました","게임 이용이 일시적으로 금지되었습니다.","Тебя временно заблокировали.","تم حظرك مؤقتًا","Você recebeu um banimento temporário.","你的账号已被临时封禁","你的帳號已被臨時封禁","Kamu diblokir untuk sementara waktu","คุณถูกแบนชั่วคราว","Sinut on estetty tilapäisesti."
"TID_ERROR_POP_UP_BANNED_BUTTON","Okay","D'accord","Okay","Vale","OK","Oké","Tamam","OK","확인","OK","حسنًا","OK","了解","OK","Oke","ตกลง","Selvä"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","CONNECTION ERROR","ERREUR DE CONNEXION","VERBINDUNGSFEHLER","ERROR DE CONEXIÓN","ERRORE DI CONNESSIONE","VERBINDINGSFOUT","BAĞLANTI HATASI","接続エラー","연결 오류","ОШИБКА СОЕДИНЕНИЯ","خطأ اتصال","ERRO DE CONEXÃO","连接错误","連線錯誤","KESALAHAN KONEKSI","ข้อผิดพลาดในการเชื่อมต่อ","YHTEYSVIRHE"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Unable to connect with the server. Check your internet connection and try again.","Connexion au serveur impossible. Vérifiez votre connexion Internet et réessayez.","Es konnte keine Verbindung mit dem Server hergestellt werden. Überprüfe deine Internetverbindung und versuche es erneut.","No se ha podido conectar con el servidor. Comprueba tu conexión a Internet e inténtalo de nuevo.","Impossibile connettersi al server. Controlla la connessione a Internet e riprova.","Verbinding maken met de server is mislukt. Controleer je internetverbinding en probeer het opnieuw.","Sunucuyla iletişim kurulamıyor. İnternet bağlantını kontrol edip tekrar dene.","サーバーに接続できません。インターネットの接続環境を確認してから、もう一度お試しください。","서버에 연결할 수 없습니다. 인터넷 연결을 확인하고 다시 시도해주세요.","Невозможно подключиться к серверу. Проверьте подключение к Интернету и попробуйте снова.","تعذر الاتصال بالخادم. تحقق من اتصال الإنترنت لديك وكرر المحاولة.","Não foi possível se conectar ao servidor. Verifique sua conexão de internet e tente de novo.","无法连接服务器，请检查你的网络连接后重试。","無法與伺服器連線，請檢查你的網路連線後再試一次。","Gagal tersambung ke server. Periksa koneksi internet dan coba lagi.","ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้ โปรดตรวจสอบการเชื่อมต่อของคุณและลองอีกครั้ง","Palvelimeen ei voitu yhdistää. Tarkista internet-yhteytesi ja kokeile uudelleen."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Try again","Réessayer","Erneut versuchen","Volver a intentarlo","Riprova","Opnieuw proberen","Tekrar dene","もう一度試す","재시도","Повторить попытку","إعادة المحاولة","Tentar de novo","重试","再試一次","Coba lagi","ลองอีกครั้ง","Yritä uudelleen"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","CONNECTION LOST","CONNEXION PERDUE","VERBINDUNG VERLOREN","CONEXIÓN PERDIDA","CONNESSIONE PERSA","VERBINDING VERBROKEN","BAĞLANTI HATASI","接続切断","연결 끊김","СОЕДИНЕНИЕ ПОТЕРЯНО","انقطاع الاتصال","CONEXÃO PERDIDA","连接中断","連線中斷","KONEKSI TERPUTUS","สูญเสียการเชื่อมต่อ","YHTEYS KATKESI"
"TID_ERROR_POP_UP_CONNECTION_LOST","You have lost connection with the server. Check your internet connection and try again.","Connexion au serveur perdue. Vérifiez votre connexion Internet et réessayez.","Du hast die Verbindung mit dem Server verloren. Überprüfe deine Internetverbindung und probiere es erneut.","Has perdido la conexión con el servidor. Comprueba tu conexión a Internet e inténtalo de nuevo.","Connessione al server interrotta. Controlla la connessione a Internet e riprova.","De verbinding met de server is verbroken. Controleer je internetverbinding en probeer opnieuw.","Sunucu bağlantısı kesildi. İnternet bağlantını kontrol edip tekrar dene.","サーバーとの接続が切断されました。インターネットの接続環境を確認してから、もう一度お試しください。","서버와의 연결이 끊겼습니다. 인터넷 연결을 확인하고 다시 시도해주세요.","Соединение с сервером оборвалось. Проверьте подключение к Интернету и попробуйте снова.","انقطع الاتصال بالخادم. تحقق من اتصال الإنترنت لديك وكرر المحاولة.","A conexão com o servidor caiu. Verifique sua conexão de internet e tente de novo.","与服务器失去连接，请检查你的网络连接后重试。","與伺服器連線中斷，請檢查你的網路連線後再試一次。","Koneksi ke server terputus. Periksa koneksi internet dan coba lagi.","คุณสูญเสียการเชื่อมต่อกับเซิร์ฟเวอร์ โปรดตรวจสอบการเชื่อมต่อของคุณและลองอีกครั้ง","Yhteytesi palvelimeen katkesi. Tarkista internet-yhteytesi ja yritä uudelleen."
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Try again","Réessayer","Erneut versuchen","Volver a intentarlo","Riprova","Opnieuw proberen","Tekrar dene","もう一度試す","재시도","Повторить попытку","إعادة المحاولة","Tentar de novo","重试","再試一次","Coba lagi","ลองอีกครั้ง","Yritä uudelleen"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","ANYONE THERE?","TOUJOURS LÀ ?","BIST DU DA?","¿SIGUES AHÍ?","C'È NESSUNO?","IS DAAR IEMAND?","ORADA MISIN?","まだプレイしていますか？","아직 계신가요?","ТЫ ЕЩЁ ТУТ?","أما زلت هنا؟","ALGUÉM AÍ?","还在吗？","有人在嗎？","ADA ORANG DI SANA?","มีใครอยู่ไหม?","ONKO SIELLÄ KETÄÄN?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","You have been disconnected due to inactivity.","La connexion a été interrompue en raison de votre inactivité.","Deine Verbindung wurde wegen Inaktivität unterbrochen.","Te has desconectado por inactividad.","Disconnessione dalla partita eseguita per inattività.","Je werd afgemeld wegens inactiviteit.","Aktif olmadığın için bağlantın kesildi.","長時間操作がなかったため、接続が切断されました。","일정 시간 동안 움직임이 없어 연결이 끊겼습니다.","Вы отключены по причине бездействия.","تم قطع اتصالك لعدم النشاط.","A conexão caiu por inatividade.","由于太久没有进行操作，你已断开连接。","由於太久沒有進行操作，你已斷線。","Koneksi terputus karena kamu tidak aktif.","คุณถูกตัดการเชื่อมต่อเนื่องจากไม่มีการเคลื่อนไหว","Et tehnyt mitään, joten yhteytesi katkaistiin."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Reload game","Relancer","Spiel neu laden","Volver a cargar la partida","Ricarica","Spel herladen","Oyunu yeniden yükle","ゲームをリロード","게임 다시 불러오기","Перезагрузить игру","إعادة تحميل اللعبة","Recarregar","重新加载","重新載入","Muat ulang game","โหลดเกมอีกครั้ง","Lataa uudelleen"
