"Name","Description","HasEvenSpaceCharacters","isRTL","UsedSystemFont","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","SortOrder","TestLanguage","TestExcludes","BoomboxEnabled","BoomboxUrl","BoomboxStagingUrl","HelpshiftLanguageTagOverride","ForcedFontName","SelfHelpUrl","SelfHelpStagingUrl","SelfHelpDevUrl","ChineseBuildSelfHelpUrl","PrivacyPolicyUrl","TermsOfServiceUrl","ParentsGuideUrl"
"QUADRUPLE","Quad String",,,,"zh-Hans","zh_CN",1005,"TRUE",,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/fi/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/fi/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/fi/index.html","https://ingame.help.supercellsupport.com/clash-royale/fi/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"DE",,,,,"de",,2,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","FR",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"ES",,,,,"es",,3,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","FR",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"IT",,,,,"it",,4,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","FR",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"NL",,,,,"nl",,5,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","FR",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"TR",,,,,"tr",,6,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","FR",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"JP",,,,,"jp",,7,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","FR",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://github.com/8-bitHacc","https://github.com/8-bitHacc/OpenSquad"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"RU",,,,,"ru",,8,,,"true",,,"FR",,"https://ingame.help.supercellsupport.com/squad-busters/ru/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/ru/index.html""https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","https://github.com/8-bitHacc","https://github.com/8-bitHacc/OpenSquad"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
,,,,,,,,,,,,,,,,,,,,,
"AR",,,,,"ar",,9,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","FR",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,

"PT",,,,,"pt",,10,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","FR",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"CN",,,,,"cn",,11,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","FR",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"CNT",,,,,"cnt",,12,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","FR",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"ID",,,,,"id",,13,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","FR",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"TH",,,,,"th",,14,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","FR",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
"FI",,,,,"fi",,15,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","FR",,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html","http://www.supercell.com/en/privacy-policy/","https://supercell.com/en/terms-of-service/","https://supercell.com/en/parents/"
,,,,,,,,,,,,,,,"https://ingame.help.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-staging.supercellsupport.com/squad-busters/en/index.html","https://ingame.help-dev.supercellsupport.com/squad-busters/en/index.html","https://ingame.help.supercellsupport.com/clash-royale/en/index.html",,,
